id_product,product_name,product_link,regular_price,promo_price,brand
"374530,""Пиво Pilsner Urquell светлое, 0.5л"",https://online.metro-cc.ru/products/svetloe-pilsner-urquell-zheleznaya-banka-05-l,189,159,PILSNER URQUELL"
"548225,""Пиво Bakalar безалкогольное, 0.33л"",https://online.metro-cc.ru/products/bakalar-bezalkogolnoe-st-b-033-l,139,123.90,BAKALAR"
"203959,""Пиво Otto Von Schrodder Hefeweizen, 5л"",https://online.metro-cc.ru/products/5l-pivo-otto-von-schrodder-hefeweizen-zhb,2499,1889,OTTO VON SCHRDDER"
"562567,""Пиво Praga темное, 0.5л"",https://online.metro-cc.ru/products/praga-dark-lager-05-l,149,,PRAGA"
"117310,""Пиво Murphys Irish Stout темное, 0.5л"",https://online.metro-cc.ru/products/murphys-irish-stout-zh-b-05-l,349,249,MURPHYS IRISH STOUT"
"639715,""Пиво Velkopopovicky Kozel светлое, 0.5л"",https://online.metro-cc.ru/products/kozel-premium-zheleznaya-banka-05-l,189,,VELKOPOPOVICKY KOZEL"
"501080,""Пиво Velkopopovicky Kozel темное, 0.5л"",https://online.metro-cc.ru/products/temnoe-velkopopovicky-kozel-lager-zheleznaya-banka-05-l,189,,VELKOPOPOVICKY KOZEL"
"420369,""Пиво Paulaner Weissbier светлое, 0.5л"",https://online.metro-cc.ru/products/svetloe-paulaner-hefe-weisbier-zheleznaya-banka-05-l,219,,PAULANER"
"114471,""Пиво Stella Artois светлое безалкогольное, 0.44л"",https://online.metro-cc.ru/products/044-l-pivo-stella-artua-b-a,79.90,64.90,STELLA ARTOIS"
"203968,""Пиво Wolpertinger лагер, 5л"",https://online.metro-cc.ru/products/5l-pivo-wolpertinger-lager-zhb,2499,1889,WOLPERTINGER"
"579139,""Пиво Schofferhofer Hefeweizen светлое, 0.5л"",https://online.metro-cc.ru/products/schofferhofer-05-l-579139,207,,SCHOFFERHOFER"
"665420,""Пиво Stella Artois светлое безалкогольное, 0.45л"",https://online.metro-cc.ru/products/stella-artois-bezalkogolnoe-zh-b-045-l,79.90,64.90,STELLA ARTOIS"
"134765,""Пиво Otto Von Schrodder безалкогольное, 0.5л"",https://online.metro-cc.ru/products/05l-pivo-otto-fon-shryodder-ba-zhb,129,100,OTTO VON SCHRDDER"
"421938,""Пиво Clausthaler Original безалкогольное, 0.5л"",https://online.metro-cc.ru/products/clausthaler-bezalkogolnoe-v-zhestyanoj-banke-05-l-421938,169,124.90,CLAUSTHALER"
"657612,""Пиво Velkopopovicky Kozel темное, 0.45л"",https://online.metro-cc.ru/products/art-657612,69.90,67.90,VELKOPOPOVICKY KOZEL"
"657890,""Пиво Velkopopovicky Kozel светлое, 0.45л"",https://online.metro-cc.ru/products/velkopopovicky-kozel-svetly-zh-b-045-l-657890,69.90,67.90,VELKOPOPOVICKY KOZEL"
"502813,""Пиво Bakalar Dry Hopped Lager светлое, 0.5л"",https://online.metro-cc.ru/products/svetloe-bakalar-holodnogo-ohmeleniya-05-l,189,,BAKALAR"
"134191,""Пиво Franziskaner Премиум, 0.45л"",https://online.metro-cc.ru/products/pivo-franziskaner-premium-045l-134191,99.90,,FRANZISKANER"
"437508,""Пиво Maisels Weisse Original светлое, 0.5л"",https://online.metro-cc.ru/products/maisels-weisse-original-v-steklyannoj-butylke-05-l,199,,MAISELS"
"635178,""Пиво Bud безалкогольное, 0.45л"",https://online.metro-cc.ru/products/bud-bezalkogolnoe-05-zh-b-045-l-635178,64.90,49.90,BUD"
"116354,""Пиво Palm темное, 0.5л"",https://online.metro-cc.ru/products/05-l-pivo-palm-temn-zh-b,174,,PALM"
"127942,""Пиво Grotwerg светлое безалкогольное, 0.5л"",https://online.metro-cc.ru/products/grotwerg-svetloe-05-l,119,99.90,GROTWERG"
"238497,""Пиво Bakalar светлое безалкогольное, 0.5л"",https://online.metro-cc.ru/products/pivo-bakalar-svetloe-bezalkogolnoe-05l,149,,BAKALAR"
134164,Пиво Spaten 0.45л,https://online.metro-cc.ru/products/pivo-spaten-045l-134164,119,,SPATEN
"634304,""Пивной напиток Hoegaarden Blanche, 0.45л"",https://online.metro-cc.ru/products/napitok-hoegaarden-zh-b-045-l,89.90,,HOEGAARDEN"
"74875,""Пиво Asahi Super Dry, 0.33л"",https://online.metro-cc.ru/products/art-74875,199,,ASAHI"
"648013,""Пиво Pilsner Urquell светлое, 0.33л"",https://online.metro-cc.ru/products/pilsner-urwuell-v-stekle-033-l,199,,PILSNER URQUELL"
"239392,""Пиво Steinbrau Edel Weiss, 0.5л"",https://online.metro-cc.ru/products/05l-pivo-steinbrau-edel-vayss-zhb-239392,189,,STEINBRAU"
"648015,""Пиво Grolsch Premium Pilsner светлое, 0.5л"",https://online.metro-cc.ru/products/grolsch-premium-lager-zheleznaya-banka-05-l,179,169,GROLSCH"
"98346,""Пиво Edelherb Kulmbacher Pils, 5л"",https://online.metro-cc.ru/products/kulmbacher-pils-bochka-5-l,1990,,EDELHERB"
"659936,""Пиво Birra Moretti светлое, 0.5л"",https://online.metro-cc.ru/products/birra-moretti-zh-b-05-l,219,199,BIRRA MORETTI"
"282407,""Пиво Prazacka светлое, 5л"",https://online.metro-cc.ru/products/prazacka-lager-keg-5l,2390,1899,PRAZACKA"
"113816,""Пиво Афанасий Марочное избранное светлое, 0.5л"",https://online.metro-cc.ru/products/05-l-pivo-afanasij-marochnoe-izbr-sv,139,,АФАНАСИЙ"
110861,Пиво Staroceske 0.5л,https://online.metro-cc.ru/products/pivo-staroceske-zh-b-05-l,147,124,STAROCESKE
"136209,""Пиво Wolpertinger безалкогольное, 0.5л"",https://online.metro-cc.ru/products/pivo-wolpertinger-bezalkogolnoe-05l,135,98.90,WOLPERTINGER"
"123199,""Пиво Krusovice светлое, 0.43л"",https://online.metro-cc.ru/products/043-l-krushovice-sv-zh-b,73.90,70.90,KRUSOVICE"
"518426,""Пиво Radeberger Pilsner светлое, 0.5л"",https://online.metro-cc.ru/products/radeberger-05-l,189,,RADEBERGER"
134157,Пиво Spaten 0.45л,https://online.metro-cc.ru/products/pivo-spaten-045l-134157,119,,SPATEN
"134866,""Напиток пивной Kriek Boon светлый фильтрованный, 0.25л"",https://online.metro-cc.ru/products/napitok-svetlyj-filtrovannyj-boon-kriek-025-l,189,,KRIEK BOON"
"215223,""Пиво Konix Brewery Лось Просто лось безалкогольное, 0.45л"",https://online.metro-cc.ru/products/045l-pivo-konix-brewery-los-prosto-los-ba-zhb-215223,139,,KONIX BREWERY"
"123743,""Пивной напиток Chester's Вишня, 0.45л"",https://online.metro-cc.ru/products/045-l-nap-chesters-vishnya-st,109,,CHESTER'S"
"564302,""Пиво Stiegl Goldbrau светлое, 0.5л"",https://online.metro-cc.ru/products/stiegl-goldbrau-05-l,159,134.90,STIEGL"
"632717,""Пиво Zatecky Gus светлое, 1.35л"",https://online.metro-cc.ru/products/zatecky-gus-svetloe-pet-135l,139,130,ZATECKY GUS"
"200121,""Пиво Kaiserdom Dark Lager 4.7%, 0.5л"",https://online.metro-cc.ru/products/05l-pivo-kaiserdom-dark-lager-47-zhb-200121,159,,KAISERDOM"
"98556,""Пиво Горьковская пивоварня American Amber Lager, 0.44л"",https://online.metro-cc.ru/products/pivo-gorkovskaya-pivovarnya-american-amber-lager-044-l,106,,ГОРЬКОВСКАЯ ПИВОВАРНЯ"
"583397,""Пиво Zatecky Gus светлое, 0.45л"",https://online.metro-cc.ru/products/zhateckij-gus-svetloe-zh-b-045-l,82.90,59.90,ZATECKY GUS"
"75169,""Пиво Балтика №7 Мягкое, 0.45л"",https://online.metro-cc.ru/products/myagkoe-7-v-zhestyanoj-banke-baltika-045-l,64.90,57.90,БАЛТИКА"
"128111,""Напиток пивной Hoegaarden безалкогольный пшеничный, 0.33л"",https://online.metro-cc.ru/products/napitok-hoegaarden-pshenichnyj-033-l,53.90,42.90,HOEGAARDEN"
"138781,""Пиво Prazacka Zlata светлое, 0.5л"",https://online.metro-cc.ru/products/05l-pivo-prazhechka-zlata-svetloe-zhb-138781,159,,PRAZACKA"
"581882,""Пиво Балтика №0 безалкогольное, 0.45л"",https://online.metro-cc.ru/products/baltika-0-bezalkogolnoe-zh-b-045-l,59.90,52.90,БАЛТИКА"
"134172,""Пиво Franziskaner Премиум, 0.45л"",https://online.metro-cc.ru/products/pivo-franziskaner-premium-045l-134172,119,,FRANZISKANER"
"58475,""Пиво Балтика №0 Грейпфрут безалкогольное, 0.33л"",https://online.metro-cc.ru/products/baltika-0-grejpfrut-svetloe-033-l,54.90,39.90,БАЛТИКА"
"218614,""Пиво Flensburger Pilsener светлое, 0.5л"",https://online.metro-cc.ru/products/pivo-flensburger-pilsener-svetloe-05l,284,,FLENSBURGER"
140440,Напиток пивной White Moon Staut 0.45л,https://online.metro-cc.ru/products/045l-piv-nap-vayt-mun-staut-zhb,139,,WHITE MOON STAUT
"120857,""Пиво Bud Light, 0.44л"",https://online.metro-cc.ru/products/044-l-bad-lajt-st,77.90,59.90,BUD"
"633391,""Пиво Bud светлое, 0.45л"",https://online.metro-cc.ru/products/svetloe-bud-045-l,79.90,69.90,BUD"
"140745,""Пиво Grotwerg Вайсбир, 0.5л"",https://online.metro-cc.ru/products/05l-pivo-grotverg-vaysbir-zhb-140745,139,119,GROTWERG"
"519504,""Пиво Grotwerg светлое, 5л"",https://online.metro-cc.ru/products/svetloe-grotwerg-keg-5l,2190,1990,GROTWERG"
"307280,""Пиво Liebenweiss пшеничное светлое нефильтрованное, 5л"",https://online.metro-cc.ru/products/leibenweiss-pshenichnoe-keg-5l,2190,,LIEBENWEISS"
"59515,""Пивной напиток Blanche Bruxelles светлое, 0.33л"",https://online.metro-cc.ru/products/napitok-blanche-bruxelles-v-steklyannoj-butylke-033-l,189,,BLANCHE BRUXELLES"
"206338,""Пиво Чуанлан New Fash светлое, 0.45л"",https://online.metro-cc.ru/products/045l-pivo-chuanlan-nyu-fesh-svetloe-st,189,,ЧУАНЛАН"
"632978,""Пиво Lowenbrau светлое, 0.45л"",https://online.metro-cc.ru/products/lowenbrau-zheleznaya-banka-045-l,85.90,,LOWENBRAU"
"610177,""Пивной напиток Балтика №0 пшеничный нефильтрованный безалкогольный, 0.45л"",https://online.metro-cc.ru/products/baltika-0-nefiltrovannoe-pshenichnoe-zh-b-05-l,59.90,56.90,БАЛТИКА"
"98557,""Пиво Горьковская пивоварня IPA безалкогольное, 0.33л"",https://online.metro-cc.ru/products/pivo-bezalkogolnoe-gorkovskaya-pivovarnya-ipa-zh-b-033-l,75.90,,ГОРЬКОВСКАЯ ПИВОВАРНЯ"
"420368,""Пиво Erdinger Weisbier светлое пшеничное, 0.5л"",https://online.metro-cc.ru/products/svetloe-erdinger-weisbier-pshenichnoe-zheleznaya-banka-05-l,225,179,ERDINGER"
"215204,""Пиво Wychwood Brewery Hobgoblin Gold светлое, 0.5л"",https://online.metro-cc.ru/products/05l-pivo-vichvud-bryuveri-hobgoblin-gold-sv-st,309,,WYCHWOOD BREWERY"
"208755,""Пиво Dreamteam Brew White Nights темное, 0.33л"",https://online.metro-cc.ru/products/033l-pivo-dreamteam-brew-vayt-nayt-temnoe-st,169,,DREAMTEAM BREW"
"618216,""Пиво Волковская пивоварня Светлячок, 0.45л"",https://online.metro-cc.ru/products/volkovskaya-pivovarnya-svetlyachok-045-l-618216,99.90,,ВОЛКОВСКАЯ ПИВОВАРНЯ"
"483564,""Пиво Афанасий нефильтрованное, 1л"",https://online.metro-cc.ru/products/afanasij-nefiltrovannoe-1l,149,,АФАНАСИЙ"
"137404,""Пиво Tsingtao премиум лагер, 0.33л"",https://online.metro-cc.ru/products/033l-pivo-tsingtao-premium-lager-st,149,,TSINGTAO"
"420383,""Пиво Kronenbourg 1664 светлое, 0.46л"",https://online.metro-cc.ru/products/kronenbourg-1664-svetloe-steklo-046-l,129,83.90,KRONENBOURG"
"73846,""Пиво St.Peter's Without Original темное безалкогольное, 0.5л"",https://online.metro-cc.ru/products/stpeters-without-original-bezalkogolnoe-v-steklyannoj-butylke-05-l,329,,ST.PETER'S"
"463788,""Пиво Bitburger Premium светлое, 0.5л"",https://online.metro-cc.ru/products/bitburger-premium-svetloe-48-zh-b-05-l,179,,BITBURGER"
"123744,""Пивной напиток Chester's Груша, 0.45л"",https://online.metro-cc.ru/products/045-l-nap-chesters-grusha-st,109,,CHESTER'S"
"123747,""Пивной напиток Chester's Сладкое Яблоко, 0.45л"",https://online.metro-cc.ru/products/045-l-nap-chesters-yablochnyj-slad-st,109,,CHESTER'S"
"114535,""Пивной напиток Hoegaarden Blanche, 0.44л"",https://online.metro-cc.ru/products/044-l-piv-nap-hugarden-st,89.90,,HOEGAARDEN"
"226994,""Пиво Monchshof Schwarzbier темное, 5л"",https://online.metro-cc.ru/products/5l-pivo-monchshof-schwarzbier-tem-zhb,1999,,MONCHSHOF"
"645621,""Пивной напиток Amsterdam Navigator светлое, 0.45л"",https://online.metro-cc.ru/products/napitok-amsterdam-zheleznaya-banka-045-l,95.90,84.90,AMSTERDAM"
"420382,""Пиво Cernovar светлое, 0.5л"",https://online.metro-cc.ru/products/chernovar-svetloe-zh-b-05-l,179,,CERNOVAR"
"123197,""Пиво Amstel светлое, 0.43л"",https://online.metro-cc.ru/products/043-l-amstel-sv-zh-b,69.90,59.90,AMSTEL"
"136833,""Пиво Жигули Экспорт, 0.45л"",https://online.metro-cc.ru/products/045l-pivo-zhiguli-eksport-but,72.90,,ЖИГУЛИ"
"419979,""Пиво Prazacka светлое, 0.5л"",https://online.metro-cc.ru/products/prazacka-zh-b-05-l,154,139,PRAZACKA"
"213482,""Пиво Holsten Pilsner светлое, 0.45л"",https://online.metro-cc.ru/products/045l-pivo-holsten-pilzner-svetloe-zhb,84.90,62.90,HOLSTEN"
"645622,""Пиво Старый Мельник из Бочонка Мягкое, 0.45л"",https://online.metro-cc.ru/products/staryj-melnik-iz-bochonka-myagkoe-zh-b-045-l-,77.90,59.90,СТАРЫЙ МЕЛЬНИК"
"49889,""Пиво Горьковская пивоварня American Pale Ale, 0.44л"",https://online.metro-cc.ru/products/art-49889,106,,ГОРЬКОВСКАЯ ПИВОВАРНЯ"
